id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,indeks_pembangunan_manusia,satuan,tahun
339,32,JAWA BARAT,3215,KABUPATEN KARAWANG,71.74,POIN,2022
340,32,JAWA BARAT,3216,KABUPATEN BEKASI,75.22,POIN,2022
341,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,69.04,POIN,2022
342,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69.03,POIN,2022
343,32,JAWA BARAT,3271,KOTA BOGOR,77.17,POIN,2022
344,32,JAWA BARAT,3272,KOTA SUKABUMI,75.4,POIN,2022
345,32,JAWA BARAT,3273,KOTA BANDUNG,82.5,POIN,2022
346,32,JAWA BARAT,3274,KOTA CIREBON,75.89,POIN,2022
347,32,JAWA BARAT,3275,KOTA BEKASI,82.46,POIN,2022
348,32,JAWA BARAT,3276,KOTA DEPOK,81.86,POIN,2022
349,32,JAWA BARAT,3277,KOTA CIMAHI,78.77,POIN,2022
350,32,JAWA BARAT,3278,KOTA TASIKMALAYA,73.83,POIN,2022
351,32,JAWA BARAT,3279,KOTA BANJAR,72.55,POIN,2022
352,32,JAWA BARAT,3201,KABUPATEN BOGOR,71.78,POIN,2023
353,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,68.49,POIN,2023
354,32,JAWA BARAT,3203,KABUPATEN CIANJUR,66.55,POIN,2023
355,32,JAWA BARAT,3204,KABUPATEN BANDUNG,73.74,POIN,2023
356,32,JAWA BARAT,3205,KABUPATEN GARUT,68.11,POIN,2023
357,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,67.76,POIN,2023
358,32,JAWA BARAT,3207,KABUPATEN CIAMIS,72.05,POIN,2023
359,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,70.72,POIN,2023
360,32,JAWA BARAT,3209,KABUPATEN CIREBON,70.95,POIN,2023
361,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,69.13,POIN,2023
362,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,73.18,POIN,2023
363,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,69.25,POIN,2023
364,32,JAWA BARAT,3213,KABUPATEN SUBANG,70.7,POIN,2023
365,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,72.09,POIN,2023
366,32,JAWA BARAT,3215,KABUPATEN KARAWANG,72.35,POIN,2023
367,32,JAWA BARAT,3216,KABUPATEN BEKASI,75.76,POIN,2023
368,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,69.61,POIN,2023
369,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,69.38,POIN,2023
370,32,JAWA BARAT,3271,KOTA BOGOR,77.85,POIN,2023
371,32,JAWA BARAT,3272,KOTA SUKABUMI,76.32,POIN,2023
372,32,JAWA BARAT,3273,KOTA BANDUNG,83.04,POIN,2023
373,32,JAWA BARAT,3274,KOTA CIREBON,76.46,POIN,2023
374,32,JAWA BARAT,3275,KOTA BEKASI,83.03,POIN,2023
375,32,JAWA BARAT,3276,KOTA DEPOK,82.38,POIN,2023
376,32,JAWA BARAT,3277,KOTA CIMAHI,79.46,POIN,2023
377,32,JAWA BARAT,3278,KOTA TASIKMALAYA,74.47,POIN,2023
378,32,JAWA BARAT,3279,KOTA BANJAR,73.08,POIN,2023
